Texto,Label Sobre Prduto,Label Sobre Loja,Polaridade do review,,
"maravilhoso ! tem me ajudado a ficar com a pele mais  clara , bonita e saudável !!",Product,,Good,,
Bom produto respondeu as expectativas !!,Product,,Good,,
"bom produto, resistente e bonito",Product,,Good,,
Quebrei o parafuso dentro do puxador. Tive que comprar outro puxador e comprei novos parafusos,Product,,Neutral,,
"Vestiu bem, modelagem correta.",Product,,Good,,
é um bom produto estou satisfeita,Product,,Good,,
"Almofada de pescoço normal. Inflavel, pratica de carregar na bolsa p viajar. Gostei.",Product,,Good,,
Ótima qualidade.,Product,,Good,,
BOA QUALIDADE BOM PRODUTO 000,Product,,Good,,
Perfeito!! Igual ao da imagem,Product,,Good,,
Tive dificuldade com o polimento,Product,,Dangerous,,
ótimo,Product,,Good,,
Muito bom. Bem embalado! Aprovado.,Product,,Good,,
produto muito bom. o cadeado podia ser melhor,Product,,Dangerous,,
"Otima central é top coloquei no meu Corolla show de bola , recomendo pra quem tiver querendo comprar . Não vai se arrepender ...",Product,,Good,,
Excelente !!!!,Product,,Good,,
"Gostei  ele é duradouro fico cheirosa o dia inteiro.
A entrega foi no prazo.Eu recomendo.",Product,Store,Good,,
pratico,Product,,Good,,
"Maravilhoso, assim como a loja!
Entrega no prazo",Product,Store,Good,,
"O produto veste bem, porém esperava um material melhor",Product,,Bad,,
Qualidade e conforto.,Product,,Good,,
"Produto simples, mas honesto. Boa qualidade. Coloquei freios de acionamento manual e ficou muito melhor do que o freio a pedal.",Product,,Good,,
"o produto é bom em relação custo beneficio,mais não tem muita durabilidade sai em poucas lavagens e o nível de matização e muito fraco se quiser matizar e utilizar o Botox tem que usar um matizador mais potente junto com o produto, a textura é muito liquida que torna o manuseio um pouco ruim derrama muito faz muita sujeira",Product,,Bad,,
"O produto veio do jeito que escolhi no site. O único ponto negativo foi a entrega que demorou demais e passou do prazo previsto. No mais, foi tudo bem.",Product,Store,Good,,
muito bom.,Product,,Good,,
Otimo produto. .aconselho a todos,Product,,Good,,
Excelente produto! Muito confortável!,Product,,Good,,
otimo,Product,,Good,,
"Não gostei, e inclusive recusei a entrega",Product,,Bad,,
porque estava procurando o produto.,Product,,Good,,
"Amei o produto, chegou em perfeitas condições, fora a atenção dos administradores do site, que ficam acompanhando e posicionando da entrega da encomenda até a chegada ao local. Com certeza voltarei a comprar novamente.",Product,Store,Good,,
"Calça veste super bem mas acho que deveria ser um tecido melhor, pois fica mt transparente",Product,,Bad,,
"Produto de baixa qualidade, pedi o tamanho P contudo veio muito grande.",Product,,Bad,,
"Amei o produto, além da postura que te obriga a manter.Me deu mais qualidade de vida. Uso todos os dias, tenho um problema de coluna e isso me deu mais segurança.",Product,,Good,,
A preta veio certa!!!mas a outra listada  veio enorme!!!!nao gostei do tecido da preta!!! Eu pedi as duas no mesmo tamanho!!!!entao não fiquei feliz!!!!,Product,,bad,,
"Dá uma boa revitalizada nos fios! O cheiro é um pouco marcante na hora da lavagem porém fresco, e não fica incomodando depois. Gostei.",Product,,Good,,
"Maravilhoso!!! Cheiro doce e marcante, extremamente feminino. Fixaçao excelente!!!",Product,,Good,,
Produto de excelente qualidade. Chegou perfeito e no prazo. ,Product,Store,Good,,
"   Eu já conhecia a Timex,tive vários outros produtos acho excelente a relação de custo e benefício bem como sua durabilidade ",Product,Store,Good,,
gostei do produto,Product,,Good,,
MUITO BOM,Product,,Good,,
Produto muito bom! Evita muitos problemas com ruídos.,Product,,Good,,
"perfeito, veio lacrado, e funcionou muito bem. Obrigado",Product,,Good,,
"Unico problema é q veio com um furinho bem pequeno perto da etiqueta. De resto, muito boa qualidade. ",Product,,Bad,,
fácil de aplicar e protege muito mesmo.,Product,,Good,,
são maiores do que pensei e tem linhas amei!,Product,,Good,,
produto bom otimo custo beneficio,Product,Store,Good,,
eu achei ótimo. muito atencosos,Product,Store,Good,,
"Bom,mas o tecido um pouco fino.",Product,,Good,,
A Mercadoria é Ótima!,Product,,Good,,
Muito bom !,Product,,Good,,
Comprei no escuro e me arrependi,Product,,Bad,,
"veste bem, preço muito especial, boas costuras era oque esperava.",Product,Store,Good,,
PRODUTO E EXCELENTE,Product,,Good,,
"não usarei não gostei do tecido não 
",Product,,Bad,,
Porque é um bom produto e atende as minhas necessidades,Product,,Good,,
Coleção muito bonita!,Product,,Good,,
"Gostei, comprei para presente espero que a pessoa goste",Product,,Good,,
"Cabelos mega hidratados na primeira lavagem, super recomendo.",Product,,Good,,
Lindo! Só q precisei fazer ajustes na cintura... muito largo,Product,,Good,,
Não recebemos o produto até agora!!!!!!!,Product,Store,Bad,,
"achei a calça perfeita tanto na modelagem quanto no tecido encorpado, veste muito bem !",Product,,Good,,
não é igual o da foto.,Product,,Bad,,
Produto de ótima qualidade ,Product,,Good,,
Lindo!!! Ótima cobertura!,Product,,Good,,
o produto foi instalado e funcionou perfeitamente,Product,,Good,,
ainda usando da energia.,Product,,Neutral,,
Adorei o brinde,Product,,Good,,
"Adorei muito lindo , a entrega foi rápida ",Product,Store,Good,,
"Fantastico, uso há algum tempo.",Product,,Good,,
Linda super top,Product,,Good,,
"Gostei,mercadoria de boa qualidade entrega no prazo combinado.Só preciso saber como fazer para troca de mercadoria?",Product,Store,Bad,,
O Spin doctor me superou compre esta oferta sem saber nado do produto e descobri que ele é muito forte e rápido.Muito bom mesmo.,Product,,Good,,
Perfume gostoso mas sem fixação.,Product,,Good,,
"A cama veio td riscada, um pedaco da cama quebrada e sem duas ripas. Nao gostei. Reclemei no site e nao tive retornou. nao compro mais no site, pois nao tem responsabilidade com seus produtos.  Pessimo servico.",Product,Store,Bad,,
   Muito bom indico para qualquer tipo de veículo.  Mais fica show npd vw,Product,,Good,,
no meu cabelo não se deu mas o produto e bom.,Product,,Good,,
Ótimo. Encaixe perfeito dos 2 lados.,Product,,Good,,
Realmente um bom produto...,Product,,Good,,
"Ótimo produto, entrega perfeita parabéns!",Product,Store,Good,,
o prazo de entrega e o produto atendeu minhas expectativas,Product,Store,Good,,
Hidrata muito bem o cabelo após o processo de alisamento.,Product,,Good,,
Muito bom acessório!,Product,,Good,,
Achei frágil a conexão da escova com o cabo.,Product,,Bad,,
Muito bom. Não tive problemas ,Product,,Good,,
"Atenciosamente,


Walter do Nascimento Filho

.
Enge-W Cálculos e Projetos Ltda
walter.nascimento@enge-w.com.br <mailto:walter.nascimento@enge-w.com.br>
com:(11) 3819-8342
cel:(11) 97204-7443",Product,,Neutral,,
bom,Product,,Good,,
muito bom o produto,Product,,Good,,
"Amei esse produto, simplesmente perfeito pra mim. ",Product,,Good,,
"Apesar de não ser da espessura que eu queria, o produto é bom e estava com um preço bem razoável.",Product,,Good,,
"Adorei produto
Nao derrapa e parece de boa qualidade",Product,,Good,,
"Bom, produto ótimo, entrega rápida",Product,Store,Good,,
"BOA QUALIDADE, DEVIA TB COBRAR E VENDER A BROCA CORRESPONDENTE A BUCHA DO PARAFUSO.
OK",Product,Store,Bad,,
Apesar de ser eau de toillete tem boa fixação ,Product,,Good,,
"Faz muito barulho, mesmo em velocidades mais baixas.",Product,,Bad,,
ok ,Product,,Good,,
Um bom produto,Product,,Good,,
"Tecido, corte sem costuras. Minha preferida!",Product,,Good,,
 boa qualidade,Product,,Good,,
Excelente,Product,,Good,,
"É A SEGUNDA VEZ QUE COMPRO O PRODUTO E ACHO MUITO BOM MESMO.  RECOMENDO, É UMA TV POR ASSINATURA SEM TAXA, COM A VANTAGEM DE VER O QUE QUER QUANDO QUER.",Product,,Good,,Experience
"Bom,  suave  gostei para o dia... seco excelente para o verão ",Product,,Good,,Experience
os esmaltes são lindos e a loja é ótima,Product,Store,Good,,
"Gostei muito da camisa, principalmente a malha e as cores",Product,,Good,,
"Além de lindo, confortável!!!",Product,,Good,,Experience
Achei que fosse um pouco maior visualizando via site.,Product,,Bad,,
Econheço o produto.,Product,,Neutral,,
Produto excelente e entrega muito rápida.,Product,Store,Good,,
"PRODUTO MUITO BOM, JÁ CONHECIA E EM QUANTIDADE MAIOR SAIU BEM EM CONTA.",Product,Store,Good,,
"Excelente recomendo a compra, produto original, a loja foi muito eficiente na entrega.",Product,Store,Good,,
"Produto de alta qualidade ,conforme o anunciado",Product,,Good,,
"Nota 5 - ótima compra, exatamente como combinado. ",Product,,Good,,
Ótimo! Chegou no tempo certinho! ,Product,Store,Good,,Experience
Produto igual ao anunciado. Chegou antes do prazo.,Product,Store,Good,,Experience
"os auto falantes são muito bons, mas na minha opinião faltou um pouco de força nos graves........",Product,,Bad,,Experience
"Produto ótimo, excelente qualidade, super confortável. Recomendo.",Product,,Good,,Experience
achei otimo o aroma do perfume,Product,,Good,,Experience
"Não instalei ainda, mas parece que esta tudo em ordem",Product,,Good,,
"Eu achei o produto muito bom, alias, meus filhos que gostaram, pois foi pra eles.",Product,,Good,,
"Parabéns pelo acondicionamento, a muda está perfeita como se tivesse sido colhida no momento que retirei da embalagem, parabéns pelo carinho com que tratam as mesmas.",Product,,Good,,Experience
Por que encaixou perfeitamente no espaco do fogao anterior e é mais fácil de acender as bocas e forno,Product,,Good,,Experience
"eu achei o produto muito bom, porém é grande tenho que realizar troca.",Product,,Good,,Experience
PERFEITA!!! Indiquei para todas minhas amigas!! Virei cliente fiel. 100% HoneyBe.,Product,,Good,,
"Muito bom...excelente resultado.cheirinho maravilhoso, qualidade nota 10!
",Product,,Good,,Experience
Produto Excelente !! Tinha o espaço que meu filho precisava e o material interno e externo é bem fácil de limpar. O fato da lancheira poder ser acoplada ao handle da mochila libera ainda mais espaço para guardar todas as coisas que meu filho precisa. Ótimo produto,Product,,Good,,Experience
Superou minhas espectativas pela rapidez e qualidade de impressão assim como a comodidade wifi !,Product,,Good,,Experience
"Pigmento muito fraco, não sai quase nada no pincel. ",Product,,Bad,,Experience
"Lindo papel, de excelente qualidade e gramatura.",Product,,Good,,
Produto de boa qualidade,Product,,Good,,
"Ainda não consegui usá-lo, pois o modelo que comprei ficou apertado no meu pé. Ainda estou aguardando a Savana concluir a troca.
O que pude perceber é que parece ser bastante robusto, mas peca um pouco no acabamento. Os rolamentos não são de primeira, vale a pena um upgrade.",Product,Store,Bad,,
"Excelente produto, embalagem completamente vedada e qualidade ótima!!!",Product,,Good,,
Adorei e estou gostando muito de comprar pelo site amei...,Product,,Good,,
eu achei otimo.,Product,,Good,,
"Esse produto eu comprei para minha mãe, ele foi indicado pela dermatologista dela. Minha mãe gosta muito, ela tem alergia a vários produtos, esse ela usa sem problemas.",Product,,Good,,Experience
Produto original.. muito bom.. chegou antes do prazo. .. muito boa o site!!,Product,Store,Good,,
Gostei mto realmente foi o ke eu esperava valeu por me fazer confiar nos seus produtos e com certeza irei endica-los ,Product,,Good,,Experience
"Adorei! Excelente cobertura e cor linda, dá um ar saudável ao rosto.",Product,,Good,,Experience
Muito bom e de otima ququalidade.recomendo,Product,,Good,,
"Roupeiro grande, robusto, bonito. Vale o preço pago.",Product,Store,Good,,
O perfume é sensacional! Um dos melhores que eu jamais usei.,Product,,Good,,
"Quando estiver na promoção de novo comprarei, com certeza, ótimo produto.",Product,,Good,,
"Produto bem acabado e prático. Não preciso mais de bolsa a tiracolo. Cabe minhas carteiras, cigarros celular, etc.",Product,,Good,,Experience
"Assim como aconteceu com o farol de milha, não consegui regular a altura do farol nos locais indicados. mas fiquei bem satisfeito.",Product,,Bad,,Experience
Escolhi esse perfume porque é excelente ,Product,,Good,,
muito bom ... chegou no prazo e sem problemas... só achei o valor do frete meio alto.,Product,Store,Good,,
"otimo produto, de facil manuseio",Product,,Good,,Experience
Gostei da novidade,Product,,Good,,
A calça e linda e veste bem. Mas eu havia comprado a calça que não era acetinada e a modelagem dela é melhor. A cintura e mais alta e mais firme. ,Product,Store,Bad,,
Eu achei a entrega rápida e o produto é muito bom.,Product,Store,Good,,
"Muito bom. Um perfume marcante, que vale à pena ter em mãos.",Product,,Good,,Experience
Lindo sapato simples mas com muito estilo e de boa qualidade. Adorei!,Product,,Good,,
"Muito bom!
Eu adoro",Product,,Good,,
"qualidade e preço bom.
",Product,Store,Good,,
Muito bom produto,Product,,Good,,
"Quero destacar a falta de comprometimento por parte da loja quanto ao prazo de entrega das mercadorias, pois os contatos não resolveram o problema quando se consegue comunicar-se.",Product,Store,Bad,,
Muitoa rápida a entrega.,,Store,Good,,
entrega rapida e eficiente,,Store,Good,,
Ótimo produto !,Product,,Good,,
Excelente produto e atendimento 10!!,Product,Store,Good,,
devido o visual dele e marca tb..e por ser do estilo da pessoa que ganhou esse presente,Product,,Neutral,,
"Bem funcional, fácil instalação, mas pra mim pelo menos achei um pouco limitado. Mas é uma solução simples, barata e eficiente.",Product,,Good,,
bom cabo... atende bem o usuário caseiro!,Product,,Good,,
òtimo!,Product,,Good,,
"Noa gostei , nao compraria de novo . nao gostei da gola , deveria ser sem o revestinmento .Os outros produtos gostei .Grato",Product,,Bad,,
"Gostei, surtiu o efeito desejado!",Product,,Good,,
Sim muito boa,Product,,Good,,
Ótimo produto. Já tinha a série 16 e este ficou melhor ainda.,Product,,Good,,
Imagem perfeita mesmo com 10m de extensão.,Product,,Good,,
Produto muito bom e de qualidade. ,Product,,Good,,
gostei da calça jeans veste bem.,Product,,Good,,
Linda e com caimento excelente,Product,,Good,,Experience
Acima das expectativas. Recomendo a compra.,Product,,Good,,
Qualidade boa e tamanho ideal pra minha moto. Reco,Product,,Good,,
Ótimo ótima ótimo ótimo otimo,Product,,Good,,
"PRODUTO ÓTIMO, RECOMENTO A TODOS, SÓ TIVE PROBLEMAS COM O CORREIO, QUE DISSERAM QUE ENTREGOU O PRODUTO, E TIVE QUE ABRIR UMA RECLAMAÇÃO E O CORREIO SÓ FOI ENTREGAR 10 DIAS DEPOIS. MAIS RECEBI EM PERFEITO ESTADO.
PROBLEMA RESOLVIDO.",Product,,Good,,
"Perfume forte, onde passa deixa rastro!!",Product,,Good,,Experience
Rápida na entrega!,,Store,Good,,
O prazo para entrega ficou muito alem do prometido,,Store,Bad,,
maravilha,Product,,Good,,
"muito bom, ótimo produto.",Product,,Good,,
Não vi resultado algum...,Product,,Bad,,
Meu casaco nao chegou. Foi cancelado devido a um problema. So comprei por que a vendedora confirmou que tinha.,,Store,Bad,,
Linda pulseira. Material excelente. Recomendo,Product,,Good,,
Aparelho muito bom! Só peca porque não têm display que marca o tempo transcorrido da mídia mas recomendo!,Product,,Good,,
"Excelente lavadora, pratica, silenciosa e muito funcional.",Product,,Good,,
Tb comprei pra minha mãe ela adorou,Product,,Good,,
Muito Bom Gostei bastante da textura.,Product,,Good,,
Muito bom.,Product,,Good,,
INSTALEI NO MESMO DIA.,Product,,Neutral,,
"a parte de tras do vestido fica parecendo que é um forro que nao deveria aparecer, e aparece. deveria ser mais delicado",Product,,Bad,,
"Ótimo produto, recomendo a todos e o prazo de entrega é excelente.",Product,Store,Good,,
"Otima qualidade do produto, muito satisfeito ",Product,,Good,,
"Ótimo produto, já o conhecia, bom tamanho para uma pessoa ou um casal. Recomendo.",Product,,Good,,
o produto chegou em perfeito estado to satisfeito não é atoa que ja é minha segunda compra porque confiei na empresa,,Store,Good,,
"O perfume é uma delicia, mas a fixação é péssima, não dura nem 3h.",Product,,Good,,
"Melhor do que parece no site. Acabamento bom, não balança e tem uma boa altura.
A cabaninha poderia melhorar mais.",Product,,Good,,
"Maravilhosa!! Essa máscara é PERFEITA!! No primeiro uso, ela já hidratou muito o meu cabelo, que está em péssimo estado precisando de muita restaução, cauterização e hidratação. Super indico!!",Product,,Good,,Experience
De acordo com as especificações e cores. Ainda veio brindes!,Product,,Good,,
Perfeito!,Product,,Good,,
"O produto é bom, mas gostaria de um acabamento mais matificado porque minha pele é oleosa. 
As informações na embalagem são um pouco confusas porque, apesar de ter FPS 44, no verso está escrito ""não é um protetor solar"". ",Product,,Bad,,
"Comprei faz apenas duas semanas, mas estou gostando muito, é muito superior ao original.
Em relação ao atendimento Roma achei excelente.",Product,Store,Good,,
Gostei!!,Product,,Good,,
Sim ótima compra!!,Product,,Good,,
"É bom, mas poderia ser mais silencioso e mais fácil de instalar",Product,,Good,,
Muito bom o produto.,Product,,Good,,
Ótimo produto e preço bom,Product,,Good,,
Linha já bem conceituada entre os profissionais da área.,Product,,Neutral,,
Porque gosto muito da fragrância que me lembra o Côco Chanel Mademoisele que amo!,Product,,Neutral,,
Ótimo,Product,,Good,,
O produto é de qualidade!,Product,,Good,,
Amei! A bolsa é linda! Produto realmente de qualidade. Chegou no prazo previsto e numa embalagem segura e caprichada. Super indico e continurei comprando! ,Product,Store,Good,,
"Excelente !!! Facil instalação,e a qualidade do produto é otima ...

",Product,,Good,,
Melhor no break que já tive.,Product,,Good,,
"Bom produto, precisa de uns ajustes, mas tudo bem",Product,,Good,,
otima loja e otimos produtos,Product,Store,Good,,
Muito bom o produto,Product,,Good,,
Preciso usar um tempo para avaliar,Product,,Neutral,,
"sandália maravilhosa, recomendo. veio bem embalado . adorei ter comprado nessa loja. ",Product,Store,Good,,
"NÃO SERVIU, NÃO CORRESPODIA A ECOSPORT 2004, QUE EU SOLICITEI.
O ATENDIMENTO FOI BOM MAS A PEÇA FOI INÚTIL",Product,Store,Dangerous,,
"Lindissima! A foto não mostra o que de fato ela é! 
Cai super bem no corpo, os detalhes são lindos!
Só não gostei do prazo, a empresa não entrega no prazo, ou seja, pagará por um frete que não será cumprido.",Product,Store,Good,,Bad
LINDO!!!<3 SUPER PRATICO E RESISTENTE,Product,,Good,,
Ótimo ,Product,,Good,,
"Maravilhoso!!!
",Product,,Good,,
FOI MUITO BOA A COMPRA.,Product,,Good,,
Super Amei !!!!!! Excelente Qualidade .... fique satisfeita,Product,,Good,,
"excelente produto, recomendo",Product,,Good,,
Gostei,Product,,Good,,
nota 10,Product,,Good,,
"Bonito e confortável.Valeu a compra.
",Product,,Good,,
qualidade do produto e para facilitar o dia a dia,Product,,Good,,
Uso sempre esse produto e adoro.,Product,,Good,,
Faltou o filtro....não existe em nenhuma revenda para ser comprado.,Product,,Bad,,
"COMPREI, PORQUE JÁ CONHECIA O PRODUTO!",Product,,Good,,
Muito linda e cinforta,Product,,Good,,
"De boa qualidade , acabamento perfeito.",Product,,Good,,
Produto muito bom. ,Product,,Good,,
"Um amor, vou enviar para meu pai, obrigada!",Product,,Good,,
Excelente e lindo,Product,,Good,,
Achei sem graça ,Product,,Bad,,
O condicionador nao e diferente do shampoo tambem e muito bom,Product,,Good,,
"Excelente acabamento, madeira e sonoridade, ótimo captador com saída XLR, além disso é de 5 cordas. Recomendo!",Product,,Good,,
Lindo! Delicadíssima e perfeita. Amei!,Product,,Good,,
Configuração otimizada e facil,Product,,Good,,
entrega exelente os produtos é 3m entao ja sabe é muito bom,Product,,Good,,
"Produto bom e de fácil instalação!
",Product,,Good,,
"Ótima qualidade, bom valor, fácil instalação.",Product,,Good,,
"Já conheccia, gosto muito dele, pois bordo nele.",Product,,Good,,
"Ótimo, superou as espectativas. Renda de qualidade e que não desfia. Modelo super confortável.",Product,,Good,,Experience
muito bom este módulo.,Product,,Good,,
a prancha é boa por ser bivolt mas é um pouco fragil.,Product,,Good,,
"Produto bom, mas veio com pequenos defeitos na borracha e a tapa da buzina não fecha ",Product,,Bad,,
"Muito bom aparelho, nao trava, facil de operar, bateria boa, eu nao uso muito, pra mim dura 2 dias. acho que deveria ter flash, nos mas,  tudo muito bom!",Product,,Good,,
peça linda estampa incrivel maravilhosa,Product,,Good,,
"Bom eu ainda estou começando a usar, mais a princípio estou gostando.  ",Product,,Good,,
"GOSTEI BASTANTE, CONTÉM ÓLEO DE ABACATE QUE É BOM PARA O CABELO. ",Product,,Good,,Experience
"O produto e bom
",Product,,Good,,
"Máscara super consistente e concentrada. Apesar de não espalhar muito bem, proporciona um resultado muito bom sem pesar nos fios. Ideal para cabelos do tipo 4b e 4c, como os meus! A embalagem também não é muito prática, sobretudo porque não fecha muito bem. Mas, no geral, o produto é bom :)",Product,,Good,,
Mto bom!!!,Product,,Good,,Experience
Não entregaram a que tinha escolhido mas fiquei satisfeita com a que entregaram.,Product,Store,Bad,,
Produto excelente entrega rapida,Product,Store,Good,,
Bem bomm,Product,,Good,,
Excelente qualidade o produto. Recomendo ,Product,,Good,,
"Excelente produto, realmente combate a oleosidade e previne acne, alem de ajudar a uniformizar a pele. Eh tao eficiente q uso noite sim e nao, para nao ressecar demais a pele. Uso faz pouco e por isso nao posso avaliar a eficacia qto ao combate aos sinais da idade. Nao pode ser usado na regiao dos olhos, eh necessario outro produto para isso. Super indico para quem tem pele oleosa e no verao.",Product,,Good,,Experience
O galileo (meu dog) gostou muito!,Product,,Good,,
"Otimo, excelente monitor p/ quem  quer jogar com qualidade",Product,,Good,,
"Achei o produto prático e eficiente, além de economizar espaço para guardar.",Product,,Good,,
AMOOO!,Product,,Good,,
Limpa muito bem sem deixar o cabelo ressecado.,Product,,Good,,Experience
"Bem pigmentado, corpo triangular bastante ergonômico e ponta bem resistente.",Product,,Good,,Experience
Qualidade compatível com a descrição.,Product,,Good,,
De ótima qualidade e indico para quem precisa comprar peças de qualidade e entrega rápida!,Product,Store,Good,,
"gostei muito,produto de otima qualidade,recomendo atodos que se enterecar",Product,,Good,,
"Gostei muito, atendeu bem a necessidade, é bonito, confortável e seguro. ",Product,,Good,,
Produto de exelente qualidade,Product,,Good,,
O produto é uma réplica !!!!,Product,,Neutral,,
Muito boa. Adorei,Product,,Good,,
Depois de usar este absorvente nunca mais consegui usar os absorventes comuns vendido em mercados/farmácias. É muito superior!,Product,,Good,,Experience
Bom,Product,,Good,,
"Muito bom! Recomendo esse game, e tambem a loja!",Product,Store,Good,,
"O produto continua excelente, o unico defeito é a posição e qualidade da etiqueta. Sempre tiro ela pois incomoda ao usar a camiseta.",Product,,Good,,
Eu adorei esse produto. Facilita muito na limpeza diária Recomendd,Product,,Good,,Experience
Chegou no tempo certo e o produto é de qualidade satisfatória. Espero em breve adquirir mais produtos com vocês . Obrigado!,Product,Store,Good,,
Adorei! Muito confortável...realmente atendeu minhas expectativas. Recomendo!,Product,,Good,,
"Ótima textura, ótima fixação. ",Product,,Good,,
Deu muito trabalho para por .Porq os encaixe ñ batião certo,Product,,Bad,,
Excelênte!!! Amo esse cheirinho !,Product,,Good,,
"A primeira vez o produto veio faltando itens e claramente falsificado. Demorou muito mais do que eu gostaria e ainda tive que gastar dinheiro enviando o produto que veio errado para a loja. No final das contas, saiu muito mais caro e demorou demais. O produto que me enviaram depois da devolução do primeiro era o mesmo. Desisti. O dono da loja diz que não considera as reclamações do site Reclame Aqui porque as pessoas reclamam demais. Porque será? Não comprem neste site.",Product,Store,Bad,,
bom a meia não fixa direto no pé.,Product,,Bad,,
"Guia excelente para treinos e passeios, recomendo.",Product,,Good,,
"Achei o produto muito bom, alta qualidade....",Product,,Good,,
"Adorei, deixa um cheirinho bem agradável, minhas amigas depois que sentiram a fragância também passaram a usar!",Product,,Good,,Experience
"O produto é excelente, atente todas as expecatativas.",Product,,Good,,
"Bom Produto. Preço competitivo.
Serviu ao propósito ! Recomendo",Product,,Good,,
Achei o produto bom e com qualidade.,Product,,Good,,
"É um produto resistente, fácil manuseio, potente e bonito! ",Product,,Good,,
lindo,Product,,Good,,
"Produto atendeu nossas expectativas. Ponto positivo para entrega, ocorreu dentro do prazo.",Product,,Good,,
"linda adorei, produto de qualidade ",Product,,Good,,
"O produto é ótimo,  surpreendeu até mesmo minhas expectativas. E apesar de cumprirem o prazo de entrega demoraram muito a postar... ",Product,Store,Good,,
DELÍCIA,Product,,Good,,
Muito bom o profuto e a rapidez da entrega,Product,Store,Good,,
Gostei,Product,,Good,,
Perfeita...Meu número...,Product,,Good,,
"Perfume muito bom, porém a fixação não foi tão boa quanto eu esperava.",Product,,Good,,
"Escolhe por ser um site seguro, com excelentes produtos e com um otimo preço.",Product,Store,Good,,
tenis otimo produto gostei muito,Product,,Good,,
Ja conhecia o produto e adoro!,Product,,Good,,
Adoro!!!,Product,,Good,,
"Ideal para a atividade que eu realizo em gravação de DVDs, e cujo preço é compatível com o mercado dos mesmos. Estou satisfeito com a compra feita.",Product,,Good,,Experience
Excelente produto e a entrega foi correta e no prazo.,Product,Store,Good,,
Poderia ser 2 dedos mais curta.,Product,,Bad,,
"Dá para sentir muito bem o sabor da uva, ótimo produto. ",Product,,Good,,Experience
"Ótimo
Qualidade
Entrega rapida
Preço baixo",Product,Store,Good,,
acho q baixa muito a temperatura so de abrir rapido para pegar algo dentro ,Product,,Neutral,,
Qualidade de Imagem e Sonora que sê obtêm deste cabo é bem superior que dos cabos comuns e a entrega foi super rapido! ,Product,Store,Good,,
Ótimo! Produto de acordo com o que esperava!,Product,,Good,,
"Glamour sempre perfeita, muito obrigado! Produtos de altíssima qualidade.",Product,,Good,,
muito bom..,Product,,Good,,
"A sapatilha é fantástica. O acabamento, a estrutura do calçado o conforto são nota 10. Recomendo.",Product,,Good,,
"Produto de boa qualidade, porém faço duas ressalvas, na camiseta que recebi não consta a estampa por dentro da gola com a marca da camiseta, acredito que é algo que faz diferença em um produto como este, tanto em acabamento, quanto na própria exposição da marca. Outro ponto é a figura que talvez pelo processo de impressão fica um pouco opaca, acredito que uma impressão com tons mais fortes e cores mais vivas ficaria perfeito. Mas ainda assim pela qualidade do tecido e das artes acredito que foi uma ótima compra.",Product,,Bad,,
"Marca com a qual tenho os resultados que almejo (usando corretamente e seguindo orientação nutricional, evidentemente).",Product,,Good,,
"Ótimo aparelho, recomendo!",Product,,Good,,
Ótimo,Product,,Good,,
Gostei da malha da camisa.. Bem aconchegante.,Product,,Good,,
"Bom mas demorou muito a entrega
",Product,Store,Good,Bad,
Camisa de excelente qualidade!! Recomendo.,Product,,Good,,
"Nunca tinha usado desodorante do Boticário, na verdade comprei para mim , mas acabei dando para minha filha. Ela gostou, por isso até já comprei mais. ",Product,,Good,,
muito bom,Product,,Good,,
ainda não usei.,Product,,Good,,
Muito bom!!! Com certeza comprarei mais...,Product,,Good,,
"As etiquetas são bonitas, vieram bem embaladas e organizadas, só não achei a aplicação das etiquetas de roupas tão fácil, mas ainda assim o resultado é muito bom",Product,,Good,,
Gostei da bota. É muito bonita e confortável. Tenho a panturrilha bem fina e ficou bem justinha. Talvez fique um pouco apertada para quem tem panturrilhas grossas.,Product,,Good,,
Adoro a Scala!!!,Product,,Good,,
E nosso vinho branco de casa.  ,Product,,Good,,
muito bom,Product,,Good,,
O MELHOR JOGO QUE JOGUEI. VICIANTE E TENSO. NA MEDIDA CERTA.,Product,,Good,,
"muito bom fiz o teste e apresenta ser puro.
",Product,,Good,,
O Kit é muito completo e variado. Muitas opções de cores. Adorei!,Product,,Good,,Experience
excelente moderno diferente compraria novamente.,Product,,Good,,
"Ótimo produto, conforme anunciado.",Product,,Good,,
a cintura é um pouco alta como eu queria e veste muito bem,Product,,Good,,Experience
Não gostei. É bastante ineficaz.,Product,,Bad,,
"Melhor protetor que ja usei, deixa a pele sequinha e segura bastante a oleosidade.",Product,,Good,,Experience
otimo,Product,,Good,,
"Uso há mais de um ano, simplesmente adoro!!! Esse eu comprei para presentear e minha irmã adorou!!",Product,,Good,,
"Gosto muito do perfume Kenzo e adorei ter comprado na época. 
Sem contar com os brindes que tiveram muito bom gosto e muito elegantes. 
 parabéns Época! !!!!!",Product,,Good,,
"Um perfume bem esportivo, comum demais para o meu gosto.",Product,,Bad,,
"primeiro demorou 20 dias para entregar
quando abrir a caixa para verificar o produto está quebrado em 3 lugares ainda estou esperando uma solução 
a parte plástica (parte preta é péssima qualidade ) os acabamentos pretos que prende na parte cromada é muito frágil",Product,,Bad,,Experience
maravilhoso. cumpre o que promete.,Product,,Good,,
Ainda não usei.,Product,,Good,,
Minha namorada adorou!,Product,,Good,,
"Gostei muito da lousa, era o que eu estava esperando e precisando. ",Product,,Good,,
